,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Fold,k,sigma,epsilon,Error
0,0,0,0,0,0,0,0,4,3,8,5.897672509427178
1,1,1,1,1,1,1,0,4,3,9,5.897672509427178
2,2,2,2,2,2,2,0,4,4,8,6.102030355920189
3,3,3,3,3,3,3,0,4,4,9,6.102030355920189
4,4,4,4,4,4,4,0,5,3,8,5.60950591601042
5,5,5,5,5,5,5,0,5,3,9,5.60950591601042
6,6,6,6,6,6,6,0,5,4,8,5.765197075540651
7,7,7,7,7,7,7,0,5,4,9,5.765197075540651
8,8,8,8,8,8,8,1,4,3,8,3.1912432882230988
9,9,9,9,9,9,9,1,4,3,9,3.1912432882230988
10,10,10,10,10,10,10,1,4,4,8,
11,11,11,11,11,11,11,1,4,4,9,
12,12,12,12,12,12,12,1,5,3,8,
13,13,13,13,13,13,13,1,5,3,9,
14,14,14,14,14,14,14,1,5,4,8,
15,15,15,15,15,15,15,1,5,4,9,
16,16,16,16,16,16,16,2,4,3,8,
17,17,17,17,17,17,17,2,4,3,9,
18,18,18,18,18,18,18,2,4,4,8,
19,19,19,19,19,19,19,2,4,4,9,
20,20,20,20,20,20,20,2,5,3,8,
21,21,21,21,21,21,21,2,5,3,9,
22,22,22,22,22,22,22,2,5,4,8,
23,23,23,23,23,23,23,2,5,4,9,
24,24,24,24,24,24,24,3,4,3,8,
25,25,25,25,25,25,25,3,4,3,9,
26,26,26,26,26,26,26,3,4,4,8,
27,27,27,27,27,27,27,3,4,4,9,
28,28,28,28,28,28,28,3,5,3,8,
29,29,29,29,29,29,29,3,5,3,9,
30,30,30,30,30,30,30,3,5,4,8,
31,31,31,31,31,31,31,3,5,4,9,
32,32,32,32,32,32,32,4,4,3,8,
33,33,33,33,33,33,33,4,4,3,9,
34,34,34,34,34,34,34,4,4,4,8,
35,35,35,35,35,35,35,4,4,4,9,
36,36,36,36,36,36,36,4,5,3,8,
37,37,37,37,37,37,37,4,5,3,9,
38,38,38,38,38,38,38,4,5,4,8,
39,39,39,39,39,39,39,4,5,4,9,
40,40,40,40,40,40,40,5,4,3,8,
41,41,41,41,41,41,41,5,4,3,9,
42,42,42,42,42,42,42,5,4,4,8,
43,43,43,43,43,43,43,5,4,4,9,
44,44,44,44,44,44,44,5,5,3,8,
45,45,45,45,45,45,45,5,5,3,9,
46,46,46,46,46,46,46,5,5,4,8,
47,47,47,47,47,47,47,5,5,4,9,
48,48,48,48,48,48,48,6,4,3,8,
49,49,49,49,49,49,49,6,4,3,9,
50,50,50,50,50,50,50,6,4,4,8,
51,51,51,51,51,51,51,6,4,4,9,
52,52,52,52,52,52,52,6,5,3,8,
53,53,53,53,53,53,53,6,5,3,9,
54,54,54,54,54,54,54,6,5,4,8,
55,55,55,55,55,55,55,6,5,4,9,
56,56,56,56,56,56,56,7,4,3,8,
57,57,57,57,57,57,57,7,4,3,9,
58,58,58,58,58,58,58,7,4,4,8,
59,59,59,59,59,59,59,7,4,4,9,
60,60,60,60,60,60,60,7,5,3,8,
61,61,61,61,61,61,61,7,5,3,9,
62,62,62,62,62,62,62,7,5,4,8,
63,63,63,63,63,63,63,7,5,4,9,
64,64,64,64,64,64,64,8,4,3,8,
65,65,65,65,65,65,65,8,4,3,9,
66,66,66,66,66,66,66,8,4,4,8,
67,67,67,67,67,67,67,8,4,4,9,
68,68,68,68,68,68,68,8,5,3,8,
69,69,69,69,69,69,69,8,5,3,9,
70,70,70,70,70,70,70,8,5,4,8,
71,71,71,71,71,71,71,8,5,4,9,
72,72,72,72,72,72,72,9,4,3,8,
73,73,73,73,73,73,73,9,4,3,9,
74,74,74,74,74,74,74,9,4,4,8,
75,75,75,75,75,75,75,9,4,4,9,
76,76,76,76,76,76,76,9,5,3,8,
77,77,77,77,77,77,77,9,5,3,9,
78,78,78,78,78,78,78,9,5,4,8,
79,79,79,79,79,79,79,9,5,4,9,
